"id","word","part_of_speech","def","example_sentence1","example_translation1","DetailedDefinition"
475,"parking lot","n.","停車場","Jennifer parked her car in the parking lot behind the building.","Jennifer 把她的車停在建築後面的停車場。",""
476,"board","n./v.","木板；董事會；登上","The information was written on a whiteboard. / He is a member of the board of directors. / Passengers are now boarding gate 5.","資訊寫在白板上。 / 他是董事會成員。 / 旅客現在開始從 5 號登機門登機。",""
477,"adventure","n.","冒險","They embarked on an exciting hiking adventure in the mountains.","他們開始了一場令人興奮的山區健行冒險。",""
478,"regrettably","adv.","令人遺憾地","Regrettably, Olivia will not be able to attend the conference.","令人遺憾地，Olivia 將無法參加會議。",""
479,"pamphlet","n.","小冊子","I picked up a pamphlet about the historical sites in the city.","我拿起了一本關於城市歷史遺跡的小冊子。",""
480,"cruise","n./v.","遊輪；巡航","They went on a relaxing cruise to the Bahamas. / The boat cruised gently along the river.","他們去巴哈馬群島進行了一次輕鬆的遊輪之旅。 / 這艘船沿著河流緩慢地巡航。",""
481,"embarkation","n.","登船；上飛機","Embarkation for flight BA249 will begin in thirty minutes.","BA249 航班將在三十分鐘後開始登機。",""
482,"amusement park","n.","遊樂園","The kids had a fantastic time at the amusement park.","孩子們在遊樂園玩得非常開心。",""
483,"branch","n.","樹枝；分公司","A squirrel ran up a branch of the oak tree. / The bank has several branches throughout the city.","一隻松鼠爬上橡樹的一個樹枝。 / 這間銀行在全市有多家分行。",""
484,"grand","adj.","宏偉的；盛大的","They attended a grand wedding at the cathedral.","他們參加了一場在教堂舉行的盛大婚禮。",""
485,"bistro","n.","小酒館","We enjoyed a delicious dinner at a cozy little bistro.","我們在一家舒適的小酒館享用了美味的晚餐。",""
486,"livestock","n.","家畜","The farmer feeds his livestock every morning.","這位農夫每天早上餵養他的家畜。",""
487,"sirloin","n.","西冷牛排（取自牛後腰脊部的嫩肉）","Robert ordered a juicy sirloin steak cooked medium-rare.","Robert 點了一份烹調至半生熟、多汁的西冷牛排。",""
488,"all-time favorite","adj.","一直以來最喜歡的","This is my all-time favorite movie directed by Steven Spielberg.","這部 Steven Spielberg 導演的電影是我一直以來最喜歡的。",""
489,"couch","n.","沙發","Jessica relaxed on the couch after a long day at work.","Jessica 在漫長的工作日後在沙發上放鬆。",""
490,"tear down","v.","拆除","They are going to tear down the old factory next month.","他們下個月將拆除那間舊工廠。",""
491,"shift","n./v.","輪班；轉移","I have the early morning shift this week. / There has been a significant shift in the company's strategy.","我這週上早班。 / 公司的策略發生了顯著的轉移。",""
492,"paycheck","n.","薪資支票","Michael received his paycheck at the end of the week.","Michael 在週末收到了他的薪資支票。",""
493,"revise","v.","修訂；修改","Alice needs to revise her report before the deadline.","Alice 需要在截止日期前修訂她的報告。",""
494,"amphitheater","n.","圓形劇場；競技場","The ancient amphitheater could hold thousands of spectators.","這座古老的圓形劇場可以容納數千名觀眾。",""
495,"genre","n.","類型；體裁","What genre of books does David enjoy reading?","David 喜歡閱讀哪種類型的書？",""
496,"pharmaceutical","adj.","製藥的；藥品的","She works in the research and development department of a large pharmaceutical company.","她在一間大型製藥公司的研發部門工作。",""
497,"is intrigued by","v.","被...吸引","Emily is intrigued by the mysteries of the universe.","Emily 對宇宙的奧秘感到著迷。",""
498,"remedy","n.","治療；補救辦法","There is no easy remedy for the common cold.","普通感冒沒有簡單的治療方法。",""
